KEYCODE,TICKER,DATE,VALUE,YoY
EBIT_Margin,AAA,2020,0.047671,-0.3495299302741278
EBIT_Margin,AAA,2021,0.028006,-0.41251494619370266
EBIT_Margin,AAA,2022,0.011284,-0.5970863386417196
EBIT_Margin,AAA,2023,0.024748,1.193193902871322
EBIT_Margin,AAA,2024,0.030272,0.22320995636010998
Eff_Tax_Rate,AAA,2016,0.14209,
Eff_Tax_Rate,AAA,2017,0.197194,0.3878105426138365
Eff_Tax_Rate,AAA,2018,0.164717,-0.16469568039595528
Eff_Tax_Rate,AAA,2019,0.178048,0.080932751325
Eff_Tax_Rate,AAA,2020,0.111611,-0.37314095075485265
Eff_Tax_Rate,AAA,2021,0.1853,0.6602306224296888
Eff_Tax_Rate,AAA,2022,0.369626,0.9947436589314627
Eff_Tax_Rate,AAA,2023,0.181801,-0.5081487774128444
Eff_Tax_Rate,AAA,2024,0.230491,0.2678203090192024
FCF,AAA,2016,-943651304191.0,
FCF,AAA,2017,-776137000746.0,-0.1775171641272847
FCF,AAA,2018,-1659977675436.0,1.1387688949766321
FCF,AAA,2019,-6291013304.0,-0.9962101819819067
FCF,AAA,2020,345217862668.0,-55.87476277446448
FCF,AAA,2021,-218540270147.0,-1.6330502960015505
FCF,AAA,2022,-65242856530.0,-0.7014607125445818
FCF,AAA,2023,1980160130838.0,-31.35060443632602
FCF,AAA,2024,-44103946017.0,-1.0222729189069852
Fin_CF,AAA,2016,868037048854.0,
Fin_CF,AAA,2017,882207303398.0,0.016324481268060964
Fin_CF,AAA,2018,2725758489063.0,2.0897029287381654
Fin_CF,AAA,2019,17309999717.0,-0.9936494741605114
Fin_CF,AAA,2020,25588860731.0,0.47827043034953975
Fin_CF,AAA,2021,739244815406.0,27.889321145526072
Fin_CF,AAA,2022,630942186793.0,-0.14650441417505133
Fin_CF,AAA,2023,-235864083459.0,-1.373828360816809
Fin_CF,AAA,2024,423075391950.0,-2.793725376689422
Financial_Expense,AAA,2016,-53927481929.0,
Financial_Expense,AAA,2017,-95052847758.0,0.7626049716755727
Financial_Expense,AAA,2018,-208587237486.0,1.1944343847230452
Financial_Expense,AAA,2019,-267714576028.0,0.2834657539676584
Financial_Expense,AAA,2020,-228577022279.0,-0.14619134426549352
Financial_Expense,AAA,2021,-199733463745.0,-0.12618748046684103
Financial_Expense,AAA,2022,-257402705272.0,0.2887309940242482
Financial_Expense,AAA,2023,-239294342399.0,-0.07035032073134084
Financial_Expense,AAA,2024,-200721664875.0,-0.16119343707543166
Financial_Income,AAA,2016,30198848862.0,
Financial_Income,AAA,2017,55775260107.0,0.8469333172889073
Financial_Income,AAA,2018,61517601742.0,0.10295499517140416
Financial_Income,AAA,2019,179675456151.0,1.9207162025682467
Financial_Income,AAA,2020,168671082125.0,-0.06124583881257484
Financial_Income,AAA,2021,213876129052.0,0.2680070961630465
Financial_Income,AAA,2022,214482862553.0,0.0028368453444960195
Financial_Income,AAA,2023,242681115061.0,0.1314708885006235
Financial_Income,AAA,2024,270722310926.0,0.1155474988564793
Gross_Margin,AAA,2016,0.143222,
Gross_Margin,AAA,2017,0.135243,-0.05571071483431311
Gross_Margin,AAA,2018,0.083996,-0.3789253417921815
Gross_Margin,AAA,2019,0.112565,0.34012333920662874
Gross_Margin,AAA,2020,0.104588,-0.07086572202727315
Gross_Margin,AAA,2021,0.099016,-0.05327571040654755
Gross_Margin,AAA,2022,0.071041,-0.2825300961460774
Gross_Margin,AAA,2023,0.087842,0.23649723399163847
Gross_Margin,AAA,2024,0.116107,0.3217709068554906
Gross_Profit,AAA,2016,307035411700.0,
Gross_Profit,AAA,2017,550385105168.0,0.7925785892924089
Gross_Profit,AAA,2018,672936073191.0,0.2226640344592763
Gross_Profit,AAA,2019,1042139378567.0,0.5486454361485964
Gross_Profit,AAA,2020,776935221364.0,-0.2544805067894762
Gross_Profit,AAA,2021,1301375383462.0,0.6750114394058289
Gross_Profit,AAA,2022,1086239883713.0,-0.16531394590904513
Gross_Profit,AAA,2023,1108693322770.0,0.02067079233018898
Gross_Profit,AAA,2024,1484105506165.0,0.33860777880131576
Interest_Expense,AAA,2016,-27284472139.0,
Interest_Expense,AAA,2017,-80592049351.0,1.9537697830629086
Interest_Expense,AAA,2018,-125980474352.0,0.5631873784884316
Interest_Expense,AAA,2019,-225421605405.0,0.7893376458891015
Interest_Expense,AAA,2020,-201246469116.0,-0.10724409599322182
Interest_Expense,AAA,2021,-151665660549.0,-0.2463685886504734
Interest_Expense,AAA,2022,-173679772675.0,0.14514895492040347
Interest_Expense,AAA,2023,-190476045845.0,0.09670828624027616
Interest_Expense,AAA,2024,-159525373952.0,-0.16249115082001508
Inv_CF,AAA,2016,-1011688875431.0,
Inv_CF,AAA,2017,-698571883875.0,-0.30949929287559463
Inv_CF,AAA,2018,-2628227660994.0,2.762286633145238
Inv_CF,AAA,2019,-859852119851.0,-0.6728395592922864
Inv_CF,AAA,2020,34701081384.0,-1.0403570341723565
Inv_CF,AAA,2021,-150390199871.0,-5.333876463583121
Inv_CF,AAA,2022,-1093758714092.0,6.272805774779154
Inv_CF,AAA,2023,-1599360204269.0,0.46226053668219924
Inv_CF,AAA,2024,-1415216102189.0,-0.11513610354220638
Inventory,AAA,2016,450591281857.0,
Inventory,AAA,2017,536681725193.0,0.1910610497859604
Inventory,AAA,2018,862749230434.0,0.6075621545036596
Inventory,AAA,2019,1221502966657.0,0.41582620252530567
Inventory,AAA,2020,946809379604.0,-0.22488163725445487
Inventory,AAA,2021,997384835429.0,0.053416724542962424
Inventory,AAA,2022,1790091357848.0,0.7947850160344951
Inventory,AAA,2023,781680229197.0,-0.563329421277853
Inventory,AAA,2024,1286443372106.0,0.645741217514904
Invested_Capital,AAA,2016,2738126087860.0,
Invested_Capital,AAA,2017,4002583259208.0,0.46179654653385405
Invested_Capital,AAA,2018,6815460731314.0,0.7027655116567371
Invested_Capital,AAA,2019,7026834892322.0,0.0310139210452538
Invested_Capital,AAA,2020,7584468575972.0,0.07935773249195144
Invested_Capital,AAA,2021,8813560681010.0,0.16205381995145052
Invested_Capital,AAA,2022,9301375586455.0,0.0553482211220333
Invested_Capital,AAA,2023,8948221025691.0,-0.037967992742737544
Invested_Capital,AAA,2024,10130750011053.0,0.1321524112968233
LT_Debt,AAA,2016,982579138038.0,
LT_Debt,AAA,2017,959926578352.0,-0.023054183433237063
LT_Debt,AAA,2018,1342803889822.0,0.39886103802576556
LT_Debt,AAA,2019,1371510124549.0,0.021377831077630693
LT_Debt,AAA,2020,617146847843.0,-0.5500238483139603
LT_Debt,AAA,2021,1175997845832.0,0.9055397429999832
LT_Debt,AAA,2022,1242368724012.0,0.056437924963241404
LT_Debt,AAA,2023,358856724282.0,-0.7111511925999404
LT_Debt,AAA,2024,1339620732954.0,2.7330239126334086
Minority_Interest,AAA,2016,10861333472.0,
Minority_Interest,AAA,2017,248117181134.0,21.844080956876454
Minority_Interest,AAA,2018,399364492474.0,0.6095801614734462
Minority_Interest,AAA,2019,328341365740.0,-0.1778403640594659
Minority_Interest,AAA,2020,426375132551.0,0.29857269610259496
Minority_Interest,AAA,2021,659890646972.0,0.5476762048102524
Minority_Interest,AAA,2022,651298108490.0,-0.013021155128395967
Minority_Interest,AAA,2023,619705409043.0,-0.04850727959312828
Minority_Interest,AAA,2024,902455310817.0,0.45626502148923564
Minority_Interest_In_Earning,AAA,2016,939541652.0,
Minority_Interest_In_Earning,AAA,2017,40021444210.0,41.59677484740187
Minority_Interest_In_Earning,AAA,2018,31888438561.0,-0.20321619595546325
Minority_Interest_In_Earning,AAA,2019,30562962890.0,-0.041566026146575785
Minority_Interest_In_Earning,AAA,2020,20931991942.0,-0.3151190211061373
Minority_Interest_In_Earning,AAA,2021,33902012122.0,0.6196266564566977
Minority_Interest_In_Earning,AAA,2022,-35308063779.0,-2.041473988385709
Minority_Interest_In_Earning,AAA,2023,19783274450.0,-1.560304710386481
Minority_Interest_In_Earning,AAA,2024,-48798663360.0,-3.466662608524849
NPAT,AAA,2016,142925017617.0,
NPAT,AAA,2017,263364105956.0,0.8426732446641627
NPAT,AAA,2018,212148913561.0,-0.1944653475426772
NPAT,AAA,2019,491028872669.0,1.3145481370933938
NPAT,AAA,2020,283172810679.0,-0.42330720973736846
NPAT,AAA,2021,324143024419.0,0.14468272445281882
NPAT,AAA,2022,117291267937.0,-0.6381496466035785
NPAT,AAA,2023,309193823134.0,1.6361197092700501
NPAT,AAA,2024,319781840731.0,0.03424394927970886
NPATMI,AAA,2016,141985475965.0,
NPATMI,AAA,2017,223342661746.0,0.5729965352305111
NPATMI,AAA,2018,180260475000.0,-0.19289725666024304
NPATMI,AAA,2019,460465909779.0,1.5544474448932855
NPATMI,AAA,2020,262240818737.0,-0.43048809223931006
NPATMI,AAA,2021,290241012297.0,0.10677282695674184
NPATMI,AAA,2022,152599331716.0,-0.47423236120797774
NPATMI,AAA,2023,289410548684.0,0.8965387687451805
NPATMI,AAA,2024,368580504091.0,0.27355587336743437
NPAT_Margin,AAA,2016,0.06667,
NPAT_Margin,AAA,2017,0.064715,-0.029323533823308767
NPAT_Margin,AAA,2018,0.02648,-0.5908212933632079
NPAT_Margin,AAA,2019,0.053038,1.0029456193353474
NPAT_Margin,AAA,2020,0.038119,-0.28128888721294165
NPAT_Margin,AAA,2021,0.024663,-0.3529998163645426
NPAT_Margin,AAA,2022,0.007671,-0.6889672789198394
NPAT_Margin,AAA,2023,0.024497,2.1934558727675664
NPAT_Margin,AAA,2024,0.025018,0.02126791035636999
Net_Revenue,AAA,2016,2143769808850.0,
Net_Revenue,AAA,2017,4069608303141.0,0.898342017104949
Net_Revenue,AAA,2018,8011572613389.0,0.9686348209987476
Net_Revenue,AAA,2019,9258073280674.0,0.15558751414196004
Net_Revenue,AAA,2020,7428557015044.0,-0.19761306809366808
Net_Revenue,AAA,2021,13143109864001.0,0.7692682222649876
Net_Revenue,AAA,2022,15290297073087.0,0.1633697984194098
Net_Revenue,AAA,2023,12621514144947.0,-0.17454094680981835
Net_Revenue,AAA,2024,12782230561048.0,0.012733528977214137
Operating_CF,AAA,2016,80169554226.0,
Operating_CF,AAA,2017,-80663604042.0,-2.006162561595481
Operating_CF,AAA,2018,38540777944.0,-1.4777963791939244
Operating_CF,AAA,2019,489340910473.0,11.696705582435714
Operating_CF,AAA,2020,612538718206.0,0.25176273860674403
Operating_CF,AAA,2021,443620282772.0,-0.27576776849099005
Operating_CF,AAA,2022,97095210426.0,-0.7811299117811022
Operating_CF,AAA,2023,2615215818513.0,25.934550190878433
Operating_CF,AAA,2024,958913854214.0,-0.6333328028127201
PBT,AAA,2016,166596782039.0,
PBT,AAA,2017,328054307275.0,0.9691515241765178
PBT,AAA,2018,253984323184.0,-0.22578573866707052
PBT,AAA,2019,597393373124.0,1.352087584127056
PBT,AAA,2020,318748516546.0,-0.4664344619707761
PBT,AAA,2021,397868051996.0,0.2482193056374018
PBT,AAA,2022,186066111703.0,-0.5323421652742537
